"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Christian Yelich","MIL","580","13.8%","20.3%","0.68",".329",".429",".671","1.100",".342","6.2",".355","3.2","0.5","4.8","134","61.0",".442","174","11477"
"Mike Trout","LAA","600","18.3%","20.0%","0.92",".291",".438",".645","1.083",".353","4.9",".298","3.7","2.5","0.9","136","60.4",".436","177","10155"
"Alex Bregman","HOU","690","17.2%","12.0%","1.43",".296",".423",".592","1.015",".296","3.8",".281","-3.4","1.2","0.1","146","58.7",".418","167","17678"
"Nelson Cruz","MIN","521","10.7%","25.1%","0.43",".311",".392",".639","1.031",".328","1.3",".351","-2.8","-1.0","-0.7","109","43.9",".417","164","2434"
"Cody Bellinger","LAD","660","14.4%","16.4%","0.88",".305",".406",".629","1.035",".324","5.0",".302","-0.1","1.0","0.5","137","54.2",".415","161","15998"
"Anthony Rendon","WSN","646","12.4%","13.3%","0.93",".319",".412",".598","1.010",".279","4.4",".323","0.9","-0.7","0.2","133","51.8",".413","155","12861"
"Ketel Marte","ARI","628","8.4%","13.7%","0.62",".329",".389",".592",".981",".264","5.9",".342","2.9","0.5","0.8","125","46.0",".405","150","13613"
"George Springer","HOU","556","12.1%","20.3%","0.59",".292",".383",".591",".974",".299","4.6",".305","2.0","-1.1","0.0","109","38.7",".400","155","12856"
"Juan Soto","WSN","659","16.4%","20.0%","0.82",".282",".401",".548",".949",".266","5.8",".312","-2.7","0.6","1.6","125","42.2",".394","143","20123"
"Nolan Arenado","COL","662","9.4%","14.0%","0.67",".315",".379",".583",".962",".269","3.1",".312","3.3","-0.2","-0.6","124","41.0",".392","130","9777"
"Anthony Rizzo","CHC","613","11.6%","14.0%","0.83",".293",".405",".520",".924",".227","4.0",".306","-5.2","0.1","-0.3","114","37.0",".390","140","3473"
"Xander Bogaerts","BOS","698","10.9%","17.5%","0.62",".309",".384",".555",".939",".246","2.7",".338","-0.1","1.6","-0.5","130","42.0",".390","141","12161"
"Charlie Blackmon","COL","634","6.3%","16.4%","0.38",".314",".364",".576",".940",".262","4.6",".334","-1.5","-0.9","-2.1","117","36.9",".387","127","7859"
"Freddie Freeman","ATL","692","12.6%","18.4%","0.69",".295",".389",".549",".938",".255","3.8",".318","0.7","-0.3","-0.5","127","40.2",".387","137","5361"
"J.D. Martinez","BOS","657","11.0%","21.0%","0.52",".304",".383",".557",".939",".252","3.1",".342","-2.8","-1.8","0.0","120","37.6",".386","139","6184"
"Jeff McNeil","NYM","567","6.2%","13.2%","0.47",".318",".384",".531",".916",".214","3.3",".337","-2.3","1.3","-1.9","103","31.6",".384","144","15362"
"Pete Alonso","NYM","693","10.4%","26.4%","0.39",".260",".358",".583",".941",".323","2.7",".280","-2.1","0.0","-0.1","126","38.4",".384","144","19251"
"Eugenio Suarez","CIN","662","10.6%","28.5%","0.37",".271",".358",".572",".930",".301","2.8",".312","-6.3","0.7","-0.6","118","34.8",".381","130","12552"
"Mookie Betts","BOS","706","13.7%","14.3%","0.96",".295",".391",".524",".915",".229","6.3",".309","4.3","-0.2","1.5","126","36.9",".380","135","13611"
"Trevor Story","COL","656","8.8%","26.5%","0.33",".294",".363",".554",".917",".260","6.6",".361","2.6","2.5","0.8","117","34.2",".380","122","12564"
"Carlos Santana","CLE","686","15.7%","15.7%","1.00",".281",".397",".515",".911",".234","3.5",".293","1.7","-0.6","0.4","122","35.4",".380","138","2396"
"Austin Meadows","TBR","591","9.1%","22.2%","0.41",".291",".364",".558",".922",".268","5.6",".331","-2.5","2.5","-1.0","105","30.5",".380","144","15672"
"Kris Bryant","CHC","634","11.7%","22.9%","0.51",".282",".382",".521",".903",".239","4.0",".331","3.3","0.1","0.4","112","32.6",".379","134","15429"
"Yoan Moncada","CHW","559","7.2%","27.5%","0.26",".315",".367",".548",".915",".233","5.6",".406","0.3","2.8","0.4","99","28.7",".379","139","17232"
"Josh Bell","PIT","613","12.1%","19.2%","0.63",".277",".367",".569",".936",".292","2.9",".288","-4.4","0.1","-0.7","108","31.0",".378","135","13145"
"Jorge Soler","KCR","679","10.8%","26.2%","0.41",".265",".354",".569",".922",".304","2.8",".294","0.0","-0.5","-0.2","120","34.3",".378","136","14221"
"Josh Donaldson","ATL","659","15.2%","23.5%","0.65",".259",".379",".521",".900",".262","2.5",".292","-2.9","0.4","-0.5","116","32.7",".377","131","5038"
"Rafael Devers","BOS","702","6.8%","17.0%","0.40",".311",".361",".555",".916",".244","4.9",".339","2.8","1.7","-2.2","123","34.6",".377","132","17350"
"DJ LeMahieu","NYY","655","7.0%","13.7%","0.51",".327",".375",".518",".893",".191","4.0",".349","0.6","-1.1","-0.3","113","31.0",".375","136","9874"
"Jose Altuve","HOU","548","7.5%","15.0%","0.50",".298",".353",".550",".903",".252","4.2",".303","-0.5","-3.2","-1.3","95","25.6",".374","137","5417"
"Trey Mancini","BAL","679","9.3%","21.1%","0.44",".291",".364",".535",".899",".244","3.1",".326","0.4","-2.3","-0.2","116","31.0",".373","132","15149"
"Marcus Semien","OAK","747","11.6%","13.7%","0.85",".285",".369",".522",".892",".237","5.1",".294","4.2","-0.6","-1.9","128","34.0",".373","138","12533"
"Max Muncy","LAD","589","15.3%","25.3%","0.60",".251",".374",".515",".889",".265","3.8",".283","2.4","2.4","0.0","101","26.8",".372","133","13301"
"Bryan Reynolds","PIT","546","8.4%","22.2%","0.38",".314",".377",".503",".880",".189","4.3",".387","0.6","0.7","-0.6","93","24.1",".371","130","19326"
"Justin Turner","LAD","549","9.3%","16.0%","0.58",".290",".372",".509",".881",".219","2.7",".304","-1.9","0.7","0.1","93","23.7",".370","131","5235"
"Ronald Acuna Jr.","ATL","715","10.6%","26.3%","0.40",".280",".365",".518",".883",".238","6.2",".337","4.6","0.4","3.1","120","30.3",".369","125","18401"
"Matt Olson","OAK","547","9.3%","25.2%","0.37",".267",".351",".545",".896",".277","1.1",".300","-0.9","0.7","-0.3","92","22.7",".368","135","14344"
"Michael Brantley","HOU","637","8.0%","10.4%","0.77",".311",".372",".503",".875",".191","3.2",".320","1.9","-1.3","-0.6","106","25.8",".367","132","4106"
"Bryce Harper","PHI","682","14.5%","26.1%","0.56",".260",".372",".510",".882",".250","4.4",".313","-3.4","1.5","1.3","113","26.8",".365","124","11579"
"Yuli Gurriel","HOU","612","6.0%","10.6%","0.57",".298",".343",".541",".884",".243","3.6",".289","-2.1","0.1","-0.6","100","23.5",".364","131","19198"
"Tim Anderson","CHW","518","2.9%","21.0%","0.14",".335",".357",".508",".865",".173","4.7",".399","1.3","-0.5","0.9","85","19.3",".363","128","15172"
"Joc Pederson","LAD","514","9.7%","21.6%","0.45",".249",".339",".538",".876",".289","3.7",".249","0.1","0.5","-0.5","83","18.6",".362","126","11899"
"Yasmani Grandal","MIL","632","17.2%","22.0%","0.78",".246",".380",".468",".848",".222","3.4",".279","-4.8","-0.5","0.2","102","22.3",".361","121","11368"
"Hunter Dozier","KCR","586","9.4%","25.3%","0.37",".279",".348",".522",".870",".243","4.5",".339","-1.8","0.5","-0.8","94","20.2",".360","123","15117"
"Luke Voit","NYY","510","13.9%","27.8%","0.50",".263",".378",".464",".842",".200","2.0",".345","-3.1","-0.4","-0.3","82","17.6",".360","126","14811"
"Gleyber Torres","NYY","604","7.9%","21.4%","0.37",".278",".337",".535",".871",".256","3.3",".296","-0.4","0.1","-0.2","96","20.1",".358","125","16997"
